Record Date,Current Month Year,Maturity,Previous Month Year,Rate Used for Previous Month Year,Present Month Year,Rate Indicated for Current Month Year,Rate Change,Source Line Number
2018-09-04,September 2018 Specific Maturities,15 years,August 2018,2-7/8%,September 2018,3%,+1/8%,3
2018-09-04,September 2018 Specific Maturities,20 years,August 2018,2-7/8%,September 2018,3%,+1/8%,4
2018-08-01,August 2018 Specific Maturities,1 year,July 2018,2-1/4%,August 2018,2-3/8%,+1/8%,1
2018-08-01,August 2018 Specific Maturities,5 years,July 2018,2-3/4%,August 2018,2-3/4%,unch,2
2018-08-01,August 2018 Specific Maturities,15 years,July 2018,3%,August 2018,2-7/8%,-1/8%,3
2018-08-01,August 2018 Specific Maturities,20 years,July 2018,3%,August 2018,2-7/8%,-1/8%,4
2018-07-02,July 2018 Specific Maturities,1 year,June 2018,2-1/4%,July 2018,2-1/4%,unch,1
2018-07-02,July 2018 Specific Maturities,5 years,June 2018,2-7/8%,July 2018,2-3/4%,-1/8%,2
2018-07-02,July 2018 Specific Maturities,15 years,June 2018,3%,July 2018,3%,unch,3
2018-07-02,July 2018 Specific Maturities,20 years,June 2018,3-1/8%,July 2018,3%,-1/8%,4
2018-06-01,June 2018 Specific Maturities,1 year,May 2018,2-1/8%,June 2018,2-1/4%,+1/8%,1
2018-06-01,June 2018 Specific Maturities,5 years,May 2018,2-5/8%,June 2018,2-7/8%,+1/4%,2
2018-06-01,June 2018 Specific Maturities,15 years,May 2018,2-7/8%,June 2018,3%,+1/8%,3
2018-06-01,June 2018 Specific Maturities,20 years,May 2018,2-7/8%,June 2018,3-1/8%,+1/4%,4
2018-05-01,May 2018 Specific Maturities,1 year,April 2018,2%,May 2018,2-1/8%,+1/8%,1
2018-05-01,May 2018 Specific Maturities,5 years,April 2018,2-5/8%,May 2018,2-5/8%,unch,2
2018-05-01,May 2018 Specific Maturities,15 years,April 2018,3%,May 2018,2-7/8%,-1/8%,3
2018-05-01,May 2018 Specific Maturities,20 years,April 2018,3%,May 2018,2-7/8%,-1/8%,4
2018-04-02,April 2018 Specific Maturities,1 year,March 2018,1-7/8%,April 2018,2%,+1/8%,1
2018-04-02,April 2018 Specific Maturities,5 years,March 2018,2-1/2%,April 2018,2-5/8%,+1/8%,2
2018-04-02,April 2018 Specific Maturities,15 years,March 2018,2-7/8%,April 2018,3%,+1/8%,3
2018-04-02,April 2018 Specific Maturities,20 years,March 2018,2-7/8%,April 2018,3%,+1/8%,4
2018-03-01,March 2018 Specific Maturities,1 year,February 2018,1-3/4%,March 2018,1-7/8%,+1/8%,1
2018-03-01,March 2018 Specific Maturities,5 years,February 2018,2-1/4%,March 2018,2-1/2%,+1/4%,2
2018-03-01,March 2018 Specific Maturities,15 years,February 2018,2-5/8%,March 2018,2-7/8%,+1/4%,3
2018-03-01,March 2018 Specific Maturities,20 years,February 2018,2-5/8%,March 2018,2-7/8%,+1/4%,4
2018-02-01,February 2018 Specific Maturities,1 year,January 2018,1-5/8%,February 2018,1-3/4%,+1/8%,1
2018-02-01,February 2018 Specific Maturities,5 years,January 2018,2-1/8%,February 2018,2-1/4%,+1/8%,2
2018-02-01,February 2018 Specific Maturities,15 years,January 2018,2-1/2%,February 2018,2-5/8%,+1/8%,3
2018-02-01,February 2018 Specific Maturities,20 years,January 2018,2-5/8%,February 2018,2-5/8%,unch,4
2018-01-02,January 2018 Specific Maturities,1 year,December 2017,1-1/2%,January 2018,1-5/8%,+1/8%,1
2018-01-02,January 2018 Specific Maturities,5 years,December 2017,2%,January 2018,2-1/8%,+1/8%,2
2018-01-02,January 2018 Specific Maturities,15 years,December 2017,2-1/2%,January 2018,2-1/2%,unch,3
2018-01-02,January 2018 Specific Maturities,20 years,December 2017,2-5/8%,January 2018,2-5/8%,unch,4
2017-12-01,December 2017 Specific Maturities,1 year,November 2017,1-3/8%,December 2017,1-1/2%,+1/8%,1
2017-12-01,December 2017 Specific Maturities,5 years,November 2017,1-7/8%,December 2017,2%,+1/8%,2
2017-12-01,December 2017 Specific Maturities,15 years,November 2017,2-1/2%,December 2017,2-1/2%,unch,3
2017-12-01,December 2017 Specific Maturities,20 years,November 2017,2-5/8%,December 2017,2-5/8%,unch,4
2017-11-01,November 2017 Specific Maturities,1 year,October 2017,1-1/4%,November 2017,1-3/8%,+1/8%,1
2017-11-01,November 2017 Specific Maturities,5 years,October 2017,1-3/4%,November 2017,1-7/8%,+1/8%,2
2017-11-01,November 2017 Specific Maturities,15 years,October 2017,2-3/8%,November 2017,2-1/2%,+1/8%,3
2017-11-01,November 2017 Specific Maturities,20 years,October 2017,2-1/2%,November 2017,2-5/8%,+1/8%,4
2017-10-02,October 2017 Specific Maturities,1 year,September 2017,1-1/4%,October 2017,1-1/4%,unch,1
2017-10-02,October 2017 Specific Maturities,5 years,September 2017,1-3/4%,October 2017,1-3/4%,unch,2
2017-10-02,October 2017 Specific Maturities,15 years,September 2017,2-3/8%,October 2017,2-3/8%,unch,3
2017-10-02,October 2017 Specific Maturities,20 years,September 2017,2-5/8%,October 2017,2-1/2%,-1/8%,4
2017-09-01,September 2017 Specific Maturities,1 year,August 2017,1-1/4%,September 2017,1-1/4%,unch,1
2017-09-01,September 2017 Specific Maturities,5 years,August 2017,1-7/8%,September 2017,1-3/4%,-1/8%,2
2017-09-01,September 2017 Specific Maturities,15 years,August 2017,2-3/8%,September 2017,2-3/8%,unch,3
2017-09-01,September 2017 Specific Maturities,20 years,August 2017,2-5/8%,September 2017,2-5/8%,unch,4
2017-08-01,August 2017 Specific Maturities,1 year,July 2017,1-1/8%,August 2017,1-1/4%,+1/8%,1
2017-08-01,August 2017 Specific Maturities,5 years,July 2017,1-3/4%,August 2017,1-7/8%,+1/8%,2
2017-08-01,August 2017 Specific Maturities,15 years,July 2017,2-3/8%,August 2017,2-3/8%,unch,3
2017-08-01,August 2017 Specific Maturities,20 years,July 2017,2-5/8%,August 2017,2-5/8%,unch,4
2017-07-03,July 2017 Specific Maturities,1 year,June 2017,1-1/8%,July 2017,1-1/8%,unch,1
2017-07-03,July 2017 Specific Maturities,5 years,June 2017,1-7/8%,July 2017,1-3/4%,-1/8%,2
2017-07-03,July 2017 Specific Maturities,15 years,June 2017,2-1/2%,July 2017,2-3/8%,-1/8%,3
2017-07-03,July 2017 Specific Maturities,20 years,June 2017,2-3/4%,July 2017,2-5/8%,-1/8%,4
2017-06-01,June 2017 Specific Maturities,1 year,May 2017,1%,June 2017,1-1/8%,+1/8%,1
2017-06-01,June 2017 Specific Maturities,5 years,May 2017,1-7/8%,June 2017,1-7/8%,unch,2
2017-06-01,June 2017 Specific Maturities,15 years,May 2017,2-1/2%,June 2017,2-1/2%,unch,3
2017-06-01,June 2017 Specific Maturities,20 years,May 2017,2-3/4%,June 2017,2-3/4%,unch,4
2017-05-01,May 2017 Specific Maturities,1 year,April 2017,1%,May 2017,1%,unch,1
2017-05-01,May 2017 Specific Maturities,5 years,April 2017,2%,May 2017,1-7/8%,-1/8%,2
2017-05-01,May 2017 Specific Maturities,15 years,April 2017,2-5/8%,May 2017,2-1/2%,-1/8%,3
2017-05-01,May 2017 Specific Maturities,20 years,April 2017,2-7/8%,May 2017,2-3/4%,-1/8%,4
2017-04-03,April 2017 Specific Maturities,1 year,March 2017,7/8%,April 2017,1%,+1/8%,1
2017-04-03,April 2017 Specific Maturities,5 years,March 2017,1-7/8%,April 2017,2%,+1/8%,2
2017-04-03,April 2017 Specific Maturities,15 years,March 2017,2-5/8%,April 2017,2-5/8%,unch,3
2017-04-03,April 2017 Specific Maturities,20 years,March 2017,2-3/4%,April 2017,2-7/8%,+1/8%,4
2017-03-01,March 2017 Specific Maturities,1 year,February 2017,7/8%,March 2017,7/8%,unch,1
2017-03-01,March 2017 Specific Maturities,5 years,February 2017,2%,March 2017,1-7/8%,-1/8%,2
2017-03-01,March 2017 Specific Maturities,15 years,February 2017,2-5/8%,March 2017,2-5/8%,unch,3
2017-03-01,March 2017 Specific Maturities,20 years,February 2017,2-3/4%,March 2017,2-3/4%,unch,4
2017-02-01,February 2017 Specific Maturities,1 year,January 2017,7/8%,February 2017,7/8%,unch,1
2017-02-01,February 2017 Specific Maturities,5 years,January 2017,1-7/8%,February 2017,2%,1/8%,2
2017-02-01,February 2017 Specific Maturities,15 years,January 2017,2-5/8%,February 2017,2-5/8%,unch,3
2017-02-01,February 2017 Specific Maturities,20 years,January 2017,2-3/4%,February 2017,2-3/4%,unch,4
2017-01-03,January 2017 Specific Maturities,1 year,December 2016,3/4%,January 2017,7/8%,1/8%,1
2017-01-03,January 2017 Specific Maturities,5 years,December 2016,1-3/8%,January 2017,1-7/8%,1/2%,2
2017-01-03,January 2017 Specific Maturities,15 years,December 2016,2-1/8%,January 2017,2-5/8%,1/2%,3
2017-01-03,January 2017 Specific Maturities,20 years,December 2016,2-3/8%,January 2017,2-3/4%,3/8%,4
2016-12-01,December 2016 Specific Maturities,1 year,November 2016,5/8%,December 2016,3/4%,1/8%,1
2016-12-01,December 2016 Specific Maturities,5 years,November 2016,1-1/4%,December 2016,1-3/8%,1/8%,2
2016-12-01,December 2016 Specific Maturities,15 years,November 2016,1-7/8%,December 2016,2-1/8%,1/4%,3
2016-12-01,December 2016 Specific Maturities,20 years,November 2016,2-1/8%,December 2016,2-3/8%,1/4%,4
2016-11-01,November 2016 Specific Maturities,1 year,October 2016,5/8%,November 2016,5/8%,unch,1
2016-11-01,November 2016 Specific Maturities,5 years,October 2016,1-1/8%,November 2016,1-1/4%,1/8%,2
2016-11-01,November 2016 Specific Maturities,15 years,October 2016,1-3/4%,November 2016,1-7/8%,1/8%,3
2016-11-01,November 2016 Specific Maturities,20 years,October 2016,2-%,November 2016,2-1/8%,1/8%,4
2016-10-03,October 2016 Specific Maturities,1 Year,September 2016,1/2%,October 2016,5/8%,1/8%,1
2016-10-03,October 2016 Specific Maturities,5 years,September 2016,1-1/8%,October 2016,1-1/8%,unch,2
2016-10-03,October 2016 Specific Maturities,15 years,September 2016,1-3/4%,October 2016,1-3/4%,unch,3
2016-10-03,October 2016 Specific Maturities,20 years,September 2016,1-7/8%,October 2016,2%,1/8%,4
2016-09-01,September 2016 Specific Maturities,1 year,August 2016,1/2%,September 2016,1/2%,unch,1
2016-09-01,September 2016 Specific Maturities,5 years,August 2016,1-1/8%,September 2016,1-1/8%,unch,2
2016-09-01,September 2016 Specific Maturities,15 years,August 2016,1-3/4%,September 2016,1-3/4%,unch,3
2016-09-01,September 2016 Specific Maturities,20 years,August 2016,1-7/8%,September 2016,1-7/8%,unch,4
2016-08-01,August 2016 Specific Maturities,1 year,July 2016,5/8%,August 2016,1/2%,-1/8%,1
2016-08-01,August 2016 Specific Maturities,5 years,July 2016,1-1/4%,August 2016,1-1/8%,-1/8%,2
2016-08-01,August 2016 Specific Maturities,15 years,July 2016,2%,August 2016,1-3/4%,-1/4%,3
2016-08-01,August 2016 Specific Maturities,20 years,July 2016,2-1/8%,August 2016,1-7/8%,-1/4%,4
2016-07-01,July 2016 Specific Maturities,1 year,June 2016,5/8%,July 2016,5/8%,unch,1
2016-07-01,July 2016 Specific Maturities,5 years,June 2016,1-1/4%,July 2016,1-1/4%,unch,2
2016-07-01,July 2016 Specific Maturities,15 years,June 2016,2%,July 2016,2%,unch,3
2016-07-01,July 2016 Specific Maturities,20 years,June 2016,2-1/4%,July 2016,2-1/8%,-1/8%,4
2016-06-01,June 2016 Specific Maturities,1 year,May 2016,5/8%,June 2016,5/8%,unch,1
2016-06-01,June 2016 Specific Maturities,5 years,May 2016,1-1/4%,June 2016,1-1/4%,unch,2
2016-06-01,June 2016 Specific Maturities,15 years,May 2016,2%,June 2016,2%,unch,3
2016-06-01,June 2016 Specific Maturities,20 years,May 2016,2-1/4%,June 2016,2-1/4%,unch,4
2016-05-02,May 2016 Specific Maturities,1 year,April 2016,5/8%,May 2016,5/8%,unch,1
2016-05-02,May 2016 Specific Maturities,5 years,April 2016,1-3/8%,May 2016,1-1/4%,-1/8%,2
2016-05-02,May 2016 Specific Maturities,15 years,April 2016,2-1/8%,May 2016,2%,-1/8%,3
2016-05-02,May 2016 Specific Maturities,20 years,April 2016,2-1/4%,May 2016,2-1/4%,unch,4
2016-04-01,April 2016 Specific Maturities,1 Year,March 2016,1/2%,April 2016,5/8%,+1/8%,1
2016-04-01,April 2016 Specific Maturities,5 years,March 2016,1-1/4%,April 2016,1-3/8%,+1/8%,2
2016-04-01,April 2016 Specific Maturities,15 years,March 2016,2-1/8%,April 2016,2-1/8%,unch,3
2016-04-01,April 2016 Specific Maturities,20 years,March 2016,2-1/4%,April 2016,2-1/4%,unch,4
2016-03-01,March 2016 Specific Maturities,1 year,February 2016,5/8%,March 2016,1/2%,-1/8%,1
2016-03-01,March 2016 Specific Maturities,5 years,February 2016,1-5/8%,March 2016,1-1/4%,-3/8%,2
2016-03-01,March 2016 Specific Maturities,15 years,February 2016,2-3/8%,March 2016,2-1/8%,-1/4%,3
2016-03-01,March 2016 Specific Maturities,20 years,February 2016,2-5/8%,March 2016,2-1/4%,-3/8%,4
2016-02-01,February 2016 Specific Maturities,1 year,January 2016,5/8%,February 2016,5/8%,unch,1
2016-02-01,February 2016 Specific Maturities,5 years,January 2016,1-5/8%,February 2016,1-5/8%,unch,2
2016-02-01,February 2016 Specific Maturities,15 years,January 2016,2-1/2%,February 2016,2-3/8%,+1/8%,3
2016-02-01,February 2016 Specific Maturities,20 years,January 2016,2-5/8%,February 2016,2-5/8%,unch,4
2016-01-04,January 2016 Specific Maturities,1 Year,December 2015,3/8%,January 2016,5/8%,+1/4%,1
2016-01-04,January 2016 Specific Maturities,5 years,December 2015,1-5/8%,January 2016,1-5/8%,unch,2
2016-01-04,January 2016 Specific Maturities,15 years,December 2015,2-1/2%,January 2016,2-1/2%,unch,3
2016-01-04,January 2016 Specific Maturities,20 years,December 2015,2-5/8%,January 2016,2-5/8%,unch,4
2015-12-01,December 2015 Specific Maturities,1 year,November 2015,1/4%,December 2015,3/8%,+1/8%,1
2015-12-01,December 2015 Specific Maturities,5 years,November 2015,1-3/8%,December 2015,1-5/8%,+1/4%,2
2015-12-01,December 2015 Specific Maturities,15 years,November 2015,2-3/8%,December 2015,2-1/2%,+1/8%,3
2015-12-01,December 2015 Specific Maturities,20 years,November 2015,2-1/2%,December 2015,2-5/8%,+1/8%,4
2015-11-02,November 2015 Specific Maturities,1 Year,October 2015,3/8%,November 2015,1/4%,-1/8%,1
2015-11-02,November 2015 Specific Maturities,5 years,October 2015,1-1/2%,November 2015,1-3/8%,-1/8%,2
2015-11-02,November 2015 Specific Maturities,15 years,October 2015,2-1/2%,November 2015,2-3/8%,-1/8%,3
2015-11-02,November 2015 Specific Maturities,20 years,October 2015,2-5/8%,November 2015,2-1/2%,-1/8%,4
2015-10-01,October 2015 Specific Maturities,1 Year,September 2015,3/8%,October 2015,3/8%,unch,1
2015-10-01,October 2015 Specific Maturities,5 years,September 2015,1-5/8%,October 2015,1-1/2%,-1/8%,2
2015-10-01,October 2015 Specific Maturities,15 years,September 2015,2-3/8%,October 2015,2-1/2%,+1/8%,3
2015-10-01,October 2015 Specific Maturities,20 years,September 2015,2-5/8%,October 2015,2-5/8%,unch,4
2015-09-01,September 2015 Specific Maturities,1 year,August 2015,1/4%,September 2015,3/8%,+1/8%,1
2015-09-01,September 2015 Specific Maturities,5 years,August 2015,1-5/8%,September 2015,1-5/8%,unch,2
2015-09-01,September 2015 Specific Maturities,15 years,August 2015,2-5/8%,September 2015,2-3/8%,-1/4%,3
2015-09-01,September 2015 Specific Maturities,20 years,August 2015,2-7/8%,September 2015,2-5/8%,-1/4%,4
2015-08-03,August 2015 Specific Maturities,1 year,July 2015,1/4%,August 2015,1/4%,unch,1
2015-08-03,August 2015 Specific Maturities,5 years,July 2015,1-5/8%,August 2015,1-5/8%,unch,2
2015-08-03,August 2015 Specific Maturities,15 years,July 2015,2-5/8%,August 2015,2-5/8%,unch,3
2015-08-03,August 2015 Specific Maturities,20 years,July 2015,2-3/4%,August 2015,2-7/8%,+1/8%,4
2015-07-01,July 2015 Specific Maturities,1 year,June 2015,1/4%,July 2015,1/4%,unch,1
2015-07-01,July 2015 Specific Maturities,5 years,June 2015,1-1/2%,July 2015,1-5/8%,+1/8%,2
2015-07-01,July 2015 Specific Maturities,15 years,June 2015,2-3/8%,July 2015,2-5/8%,+1/4%,3
2015-07-01,July 2015 Specific Maturities,20 years,June 2015,2-5/8%,July 2015,2-3/4%,+1/8%,4
2015-06-01,June 2015 Specific Maturities,1 year,May 2015,1/4%,June 2015,1/4%,unch,1
2015-06-01,June 2015 Specific Maturities,5 years,May 2015,1-3/8%,June 2015,1-1/2%,+1/8%,2
2015-06-01,June 2015 Specific Maturities,15 years,May 2015,2-1/8%,June 2015,2-3/8%,+1/4%,3
2015-06-01,June 2015 Specific Maturities,20 years,May 2015,2-1/4%,June 2015,2-5/8%,+3/8%,4
2015-05-01,May 2015 Specific Maturities,1 year,April 2015,1/4%,May 2015,1/4%,unch,1
2015-05-01,May 2015 Specific Maturities,5 years,April 2015,1-1/2%,May 2015,1-3/8%,-1/8%,2
2015-05-01,May 2015 Specific Maturities,15 years,April 2015,2-3/8%,May 2015,2-1/8%,-1/4%,3
2015-05-01,May 2015 Specific Maturities,20 years,April 2015,2-1/2%,May 2015,2-1/4%,-1/4%,4
2015-04-01,April 2015 Specific Maturities,1 year,March 2015,1/4%,April 2015,1/4%,unch,1
2015-04-01,April 2015 Specific Maturities,5 years,March 2015,1-3/8%,April 2015,1-1/2%,+1/8%,2
2015-04-01,April 2015 Specific Maturities,15 years,March 2015,2-1/8%,April 2015,2-3/8%,+1/4%,3
2015-04-01,April 2015 Specific Maturities,20 years,March 2015,2-1/4%,April 2015,2-1/2%,+1/4%,4
2015-03-02,March 2015 Specific Maturities,1 year,February 2015,1/4%,March 2015,1/4%,unch,1
2015-03-02,March 2015 Specific Maturities,5 years,February 2015,1-1/2%,March 2015,1-3/8%,-1/8%,2
2015-03-02,March 2015 Specific Maturities,15 years,February 2015,2-1/4%,March 2015,2-1/8%,-1/8%,3
2015-03-02,March 2015 Specific Maturities,20 years,February 2015,2-3/8%,March 2015,2-1/4%,-1/8%,4
2015-02-02,February 2015 Specific Maturities,1 year,January 2015,1/8%,February 2015,1/4%,+1/8%,1
2015-02-02,February 2015 Specific Maturities,5 years,January 2015,1-5/8%,February 2015,1-1/2%,-1/8%,2
2015-02-02,February 2015 Specific Maturities,15 years,January 2015,2-1/2%,February 2015,2-1/4%,-1/4%,3
2015-02-02,February 2015 Specific Maturities,20 years,January 2015,2-5/8%,February 2015,2-3/8%,-1/4%,4
2015-01-02,January 2015 Specific Maturities,1 year,December 2014,1/8%,January 2015,1/8%,unch,1
2015-01-02,January 2015 Specific Maturities,5 years,December 2014,1-5/8%,January 2015,1-5/8%,unch,2
2015-01-02,January 2015 Specific Maturities,15 years,December 2014,2-5/8%,January 2015,2-1/2%,-1/8%,3
2015-01-02,January 2015 Specific Maturities,20 years,December 2014,2-3/4%,January 2015,2-5/8%,-1/8%,4
2014-12-01,December 2014 Specific Maturities,1 year,November 2014,1/8%,December 2014,1/8%,unch,1
2014-12-01,December 2014 Specific Maturities,5 years,November 2014,1-5/8%,December 2014,1-5/8%,unch,2
2014-12-01,December 2014 Specific Maturities,15 years,November 2014,2-5/8%,December 2014,2-5/8%,unch,3
2014-12-01,December 2014 Specific Maturities,20 years,November 2014,2-7/8%,December 2014,2-3/4%,-1/8%,4
2014-11-03,November 2014 Specific Maturities,1 year,October 2014,1/8%,November 2014,1/8%,unch,1
2014-11-03,November 2014 Specific Maturities,5 years,October 2014,1-3/4%,November 2014,1-5/8%,-1/8%,2
2014-11-03,November 2014 Specific Maturities,15 years,October 2014,2-3/4%,November 2014,2-5/8%,-1/8%,3
2014-11-03,November 2014 Specific Maturities,20 years,October 2014,3%,November 2014,2-7/8%,-1/8%,4
2014-10-01,October 2014 Specific Maturities,1 year,September 2014,1/8%,October 2014,1/8%,unch,1
2014-10-01,October 2014 Specific Maturities,5 years,September 2014,1-5/8%,October 2014,1-3/4%,+1/8%,2
2014-10-01,October 2014 Specific Maturities,15 years,September 2014,2-3/4%,October 2014,2-3/4%,unch,3
2014-10-01,October 2014 Specific Maturities,20 years,September 2014,3%,October 2014,3%,unch,4
2014-09-02,September 2014 Specific Maturities,1 year,August 2014,1/8%,September 2014,1/8%,unch,1
2014-09-02,September 2014 Specific Maturities,5 years,August 2014,1-5/8%,September 2014,1-5/8%,unch,2
2014-09-02,September 2014 Specific Maturities,15 years,August 2014,2-7/8%,September 2014,2-3/4%,-1/8%,3
2014-09-02,September 2014 Specific Maturities,20 years,August 2014,3-1/8%,September 2014,3%,-1/8%,4
2014-08-01,August 2014 Specific Maturities,1 year,July 2014,1/8%,August 2014,1/8%,unch,1
2014-08-01,August 2014 Specific Maturities,5 years,July 2014,1-5/8%,August 2014,1-5/8%,unch,2
2014-08-01,August 2014 Specific Maturities,15 years,July 2014,2-7/8%,August 2014,2-7/8%,unch,3
2014-08-01,August 2014 Specific Maturities,20 years,July 2014,3-1/8%,August 2014,3-1/8%,unch,4
2014-07-01,July 2014 Specific Maturities,1 year,June 2014,1/8%,July 2014,1/8%,unch,1
2014-07-01,July 2014 Specific Maturities,5 years,June 2014,1-5/8%,July 2014,1-5/8%,unch,2
2014-07-01,July 2014 Specific Maturities,15 years,June 2014,3%,July 2014,2-7/8%,-1/8%,3
2014-07-01,July 2014 Specific Maturities,20 years,June 2014,3-1/8%,July 2014,3-1/8%,unch,4
2014-06-02,June 2014 Specific Maturities,1 year,May 2014,1/8%,June 2014,1/8%,unch,1
2014-06-02,June 2014 Specific Maturities,5 years,May 2014,1-3/4%,June 2014,1-5/8%,-1/8%,2
2014-06-02,June 2014 Specific Maturities,15 years,May 2014,3-1/8%,June 2014,3%,-1/8%,3
2014-06-02,June 2014 Specific Maturities,20 years,May 2014,3-1/4%,June 2014,3-1/8%,-1/8%,4
2014-05-01,May 2014 Specific Maturities,1 year,April 2014,1/8%,May 2014,1/8%,unch,1
2014-05-01,May 2014 Specific Maturities,5 years,April 2014,1-5/8%,May 2014,1-3/4%,+1/8%,2
2014-05-01,May 2014 Specific Maturities,15 years,April 2014,3-1/8%,May 2014,3-1/8%,unch,3
2014-05-01,May 2014 Specific Maturities,20 years,April 2014,3-3/8%,May 2014,3-1/4%,-1/8%,4
2014-04-01,April 2014 Specific Maturities,1 year,March 2014,1/8%,April 2014,1/8%,unch,1
2014-04-01,April 2014 Specific Maturities,5 years,March 2014,1-1/2%,April 2014,1-5/8%,+1/8%,2
2014-04-01,April 2014 Specific Maturities,15 years,March 2014,3-1/8%,April 2014,3-1/8%,unch,3
2014-04-01,April 2014 Specific Maturities,20 years,March 2014,3-3/8%,April 2014,3-3/8%,unch,4
2014-03-03,March 2014 Specific Maturities,1 year,February 2014,1/8%,March 2014,1/8%,unch,1
2014-03-03,March 2014 Specific Maturities,5 years,February 2014,1-3/4%,March 2014,1-1/2%,-1/4%,2
2014-03-03,March 2014 Specific Maturities,15 years,February 2014,3-3/8%,March 2014,3-1/8%,-1/4%,3
2014-03-03,March 2014 Specific Maturities,20 years,February 2014,3-5/8%,March 2014,3-3/8%,-1/4%,4
2014-02-03,February 2014 Specific Maturities,1 year,January 2014,1/8%,February 2014,1/8%,unch,1
2014-02-03,February 2014 Specific Maturities,5 years,January 2014,1-1/2%,February 2014,1-3/4%,+1/4%,2
2014-02-03,February 2014 Specific Maturities,15 years,January 2014,3-3/8%,February 2014,3-3/8%,unch,3
2014-02-03,February 2014 Specific Maturities,20 years,January 2014,3-5/8%,February 2014,3-5/8%,unch,4
